Numéro de boucle;Libellé;Jour;Total
682;pont Anne de Bretagne vers Sud;2021-04-02;988
742;Philippot vers Est;2021-04-02;803
743;Philippot vers ouest;2021-04-02;801
746;Chemin de halage Tortière vers Sud;2021-04-02;598
785;50 Otages Vers Sud;2021-04-02;2574
946;Magellan vers Est;2021-04-02;623
979;3 Continents vers Sud;2021-04-02;1111
980;Pont Tabarly vers Sud;2021-04-02;34
986;Tremie vers Ouest;2021-04-02;281
880;Madeleine vers Nord;2021-04-02;1696
950;avenue de la Libération vers Nord;2021-04-02;370
995;Ceineray vers Ouest;2021-04-02;896
997;Van Iseghem vers Sud;2021-04-02;448
727;Pont Tabarly vers Nord;2021-04-02;414
786;50 Otages Vers Nord;2021-04-02;2678
787;50 Otages Vers Sud;2021-04-02;1637
674;Pont Haudaudine vers Sud;2021-04-02;753
676;Pont Willy Brandt vers Beaulieu;2021-04-02;347
683;pont Anne de Bretagne vers Nord;2021-04-02;615
747;Chemin de halage Tortière vers Nord;2021-04-02;618
987;Tremie vers Est;2021-04-02;170
945;Magellan vers Ouest;2021-04-01;649
977;3 Continents vers Nord;2021-04-01;319
979;3 Continents vers Sud;2021-04-01;1378
989;Kennedy vers Ouest;2021-04-01;874
996;Van Iseghem vers Nord;2021-04-01;358
847;Entrée pont Audibert vers Sud;2021-04-01;2035
668;De Gaulle vers sud;2021-04-01;763
677;Pont Willy Brandt vers Malakoff;2021-04-01;313
746;Chemin de halage Tortière vers Sud;2021-04-01;784
787;50 Otages Vers Sud;2021-04-01;1876
672;Pont de Pornic vers Nord;2021-04-01;1219
680;Stalingrad vers ouest;2021-04-01;619
742;Philippot vers Est;2021-04-01;1135
785;50 Otages Vers Sud;2021-04-01;2937
9999;;2021-04-01;391
997;Van Iseghem vers Sud;2021-04-01;392
675;Pont Haudaudine vers Nord;2021-04-01;810
679;Bd Malakoff vers Gare Sud;2021-04-01;94
681;Stalingrad vers est;2021-04-01;605
744;Calvaire vers Est;2021-04-01;731
948;Bd Malakoff vers Est;2021-04-01;412
959;Sorinières Vers Sud;2021-04-01;85
988;Kennedy vers Est;2021-04-01;503
664;Bonduelle vers sud;2021-04-01;976
683;pont Anne de Bretagne vers Nord;2021-04-01;755
727;Pont Tabarly vers Nord;2021-04-01;507
747;Chemin de halage Tortière vers Nord;2021-04-01;767
890;Pont de Pirmil vers Sud;2021-04-01;3559
949;avenue de la Libération vers Sud;2021-04-01;197
674;Pont Haudaudine vers Sud;2021-04-01;812
676;Pont Willy Brandt vers Beaulieu;2021-04-01;502
943;Magellan vers Ouest;2021-04-01;205
995;Ceineray vers Ouest;2021-04-01;1010
666;Pont Audibert vers Sud;2021-04-01;202
669;De Gaulle sortie Clémenceau vers Nord;2021-04-01;742
743;Philippot vers ouest;2021-04-01;1070
944;Magellan vers Est;2021-04-01;277
947;Bd Malakoff vers Ouest;2021-04-01;411
950;avenue de la Libération vers Nord;2021-04-01;541
994;Ceineray vers Est;2021-04-01;779
986;Tremie vers Ouest;2021-04-01;257
987;Tremie vers Est;2021-04-01;195
9998;;2021-04-01;554
682;pont Anne de Bretagne vers Sud;2021-04-01;1224
745;Calvaire vers Ouest;2021-04-01;141
786;50 Otages Vers Nord;2021-04-01;2979
881;Madeleine vers Sud;2021-04-01;2278
880;Madeleine vers Nord;2021-04-01;1951
665;Bonduelle vers Nord;2021-04-01;828
667;Entrée pont Audibert vers Nord;2021-04-01;2070
670;Pont de Pirmil vers Sud;2021-04-01;411
673;Pont de Pornic vers Sud;2021-04-01;274
725;Pont Tabarly vers Sud;2021-04-01;452
788;50 Otages Vers Nord;2021-04-01;1938
946;Magellan vers Est;2021-04-01;800
960;Sorinières Vers Nord;2021-04-01;55
980;Pont Tabarly vers Sud;2021-04-01;57
981;Pont Tabarly vers Nord;2021-04-01;141
890;Pont de Pirmil vers Sud;2021-03-31;2749
944;Magellan vers Est;2021-03-31;295
945;Magellan vers Ouest;2021-03-31;642
949;avenue de la Libération vers Sud;2021-03-31;205
980;Pont Tabarly vers Sud;2021-03-31;47
989;Kennedy vers Ouest;2021-03-31;802
881;Madeleine vers Sud;2021-03-31;2153
665;Bonduelle vers Nord;2021-03-31;757
746;Chemin de halage Tortière vers Sud;2021-03-31;758
672;Pont de Pornic vers Nord;2021-03-31;1081
679;Bd Malakoff vers Gare Sud;2021-03-31;83
744;Calvaire vers Est;2021-03-31;649
747;Chemin de halage Tortière vers Nord;2021-03-31;763
676;Pont Willy Brandt vers Beaulieu;2021-03-31;465
847;Entrée pont Audibert vers Sud;2021-03-31;1565
959;Sorinières Vers Sud;2021-03-31;77
988;Kennedy vers Est;2021-03-31;533
666;Pont Audibert vers Sud;2021-03-31;233
682;pont Anne de Bretagne vers Sud;2021-03-31;1157
727;Pont Tabarly vers Nord;2021-03-31;444
742;Philippot vers Est;2021-03-31;1161
743;Philippot vers ouest;2021-03-31;1021
786;50 Otages Vers Nord;2021-03-31;2766
948;Bd Malakoff vers Est;2021-03-31;361
995;Ceineray vers Ouest;2021-03-31;938
997;Van Iseghem vers Sud;2021-03-31;412
667;Entrée pont Audibert vers Nord;2021-03-31;1711
680;Stalingrad vers ouest;2021-03-31;505
745;Calvaire vers Ouest;2021-03-31;125
943;Magellan vers Ouest;2021-03-31;205
994;Ceineray vers Est;2021-03-31;684
880;Madeleine vers Nord;2021-03-31;1913
9999;;2021-03-31;366
668;De Gaulle vers sud;2021-03-31;714
670;Pont de Pirmil vers Sud;2021-03-31;415
677;Pont Willy Brandt vers Malakoff;2021-03-31;282
785;50 Otages Vers Sud;2021-03-31;2818
977;3 Continents vers Nord;2021-03-31;312
979;3 Continents vers Sud;2021-03-31;1290
725;Pont Tabarly vers Sud;2021-03-31;434
787;50 Otages Vers Sud;2021-03-31;1882
947;Bd Malakoff vers Ouest;2021-03-31;320
960;Sorinières Vers Nord;2021-03-31;61
981;Pont Tabarly vers Nord;2021-03-31;134
986;Tremie vers Ouest;2021-03-31;238
996;Van Iseghem vers Nord;2021-03-31;343
9998;;2021-03-31;498
946;Magellan vers Est;2021-03-31;765
950;avenue de la Libération vers Nord;2021-03-31;534
987;Tremie vers Est;2021-03-31;181
664;Bonduelle vers sud;2021-03-31;847
673;Pont de Pornic vers Sud;2021-03-31;279
675;Pont Haudaudine vers Nord;2021-03-31;763
674;Pont Haudaudine vers Sud;2021-03-31;728
669;De Gaulle sortie Clémenceau vers Nord;2021-03-31;689
681;Stalingrad vers est;2021-03-31;526
683;pont Anne de Bretagne vers Nord;2021-03-31;669
788;50 Otages Vers Nord;2021-03-31;1798
943;Magellan vers Ouest;2021-03-30;223
960;Sorinières Vers Nord;2021-03-30;52
994;Ceineray vers Est;2021-03-30;747
996;Van Iseghem vers Nord;2021-03-30;340
881;Madeleine vers Sud;2021-03-30;2219
664;Bonduelle vers sud;2021-03-30;1016
675;Pont Haudaudine vers Nord;2021-03-30;826
785;50 Otages Vers Sud;2021-03-30;2839
666;Pont Audibert vers Sud;2021-03-30;208
725;Pont Tabarly vers Sud;2021-03-30;501
743;Philippot vers ouest;2021-03-30;1021
674;Pont Haudaudine vers Sud;2021-03-30;772
949;avenue de la Libération vers Sud;2021-03-30;204
989;Kennedy vers Ouest;2021-03-30;851
995;Ceineray vers Ouest;2021-03-30;1066
668;De Gaulle vers sud;2021-03-30;793
672;Pont de Pornic vers Nord;2021-03-30;1213
680;Stalingrad vers ouest;2021-03-30;613
742;Philippot vers Est;2021-03-30;1191
746;Chemin de halage Tortière vers Sud;2021-03-30;799
987;Tremie vers Est;2021-03-30;179
787;50 Otages Vers Sud;2021-03-30;1817
880;Madeleine vers Nord;2021-03-30;1942
679;Bd Malakoff vers Gare Sud;2021-03-30;85
681;Stalingrad vers est;2021-03-30;586
682;pont Anne de Bretagne vers Sud;2021-03-30;1233
727;Pont Tabarly vers Nord;2021-03-30;485
786;50 Otages Vers Nord;2021-03-30;2801
946;Magellan vers Est;2021-03-30;833
950;avenue de la Libération vers Nord;2021-03-30;524
988;Kennedy vers Est;2021-03-30;570
997;Van Iseghem vers Sud;2021-03-30;473
745;Calvaire vers Ouest;2021-03-30;109
747;Chemin de halage Tortière vers Nord;2021-03-30;817
986;Tremie vers Ouest;2021-03-30;269
890;Pont de Pirmil vers Sud;2021-03-30;2671
977;3 Continents vers Nord;2021-03-30;398
979;3 Continents vers Sud;2021-03-30;1522
980;Pont Tabarly vers Sud;2021-03-30;54
9998;;2021-03-30;591
670;Pont de Pirmil vers Sud;2021-03-30;399
673;Pont de Pornic vers Sud;2021-03-30;274
677;Pont Willy Brandt vers Malakoff;2021-03-30;303
744;Calvaire vers Est;2021-03-30;631
847;Entrée pont Audibert vers Sud;2021-03-30;2377
9999;;2021-03-30;282
676;Pont Willy Brandt vers Beaulieu;2021-03-30;482
665;Bonduelle vers Nord;2021-03-30;809
667;Entrée pont Audibert vers Nord;2021-03-30;2684
669;De Gaulle sortie Clémenceau vers Nord;2021-03-30;727
683;pont Anne de Bretagne vers Nord;2021-03-30;736
788;50 Otages Vers Nord;2021-03-30;1882
944;Magellan vers Est;2021-03-30;302
945;Magellan vers Ouest;2021-03-30;647
947;Bd Malakoff vers Ouest;2021-03-30;401
948;Bd Malakoff vers Est;2021-03-30;399
959;Sorinières Vers Sud;2021-03-30;79
981;Pont Tabarly vers Nord;2021-03-30;160
959;Sorinières Vers Sud;2021-03-29;72
988;Kennedy vers Est;2021-03-29;463
995;Ceineray vers Ouest;2021-03-29;891
997;Van Iseghem vers Sud;2021-03-29;389
667;Entrée pont Audibert vers Nord;2021-03-29;2331
788;50 Otages Vers Nord;2021-03-29;1595
668;De Gaulle vers sud;2021-03-29;678
679;Bd Malakoff vers Gare Sud;2021-03-29;74
727;Pont Tabarly vers Nord;2021-03-29;467
950;avenue de la Libération vers Nord;2021-03-29;475
979;3 Continents vers Sud;2021-03-29;1235
981;Pont Tabarly vers Nord;2021-03-29;134
9998;;2021-03-29;556
742;Philippot vers Est;2021-03-29;974
745;Calvaire vers Ouest;2021-03-29;98
786;50 Otages Vers Nord;2021-03-29;2470
947;Bd Malakoff vers Ouest;2021-03-29;334
989;Kennedy vers Ouest;2021-03-29;713
676;Pont Willy Brandt vers Beaulieu;2021-03-29;414
666;Pont Audibert vers Sud;2021-03-29;184
677;Pont Willy Brandt vers Malakoff;2021-03-29;261
683;pont Anne de Bretagne vers Nord;2021-03-29;679
746;Chemin de halage Tortière vers Sud;2021-03-29;707
785;50 Otages Vers Sud;2021-03-29;2397
944;Magellan vers Est;2021-03-29;282
948;Bd Malakoff vers Est;2021-03-29;325
980;Pont Tabarly vers Sud;2021-03-29;49
994;Ceineray vers Est;2021-03-29;626
880;Madeleine vers Nord;2021-03-29;1648
881;Madeleine vers Sud;2021-03-29;1827
665;Bonduelle vers Nord;2021-03-29;720
672;Pont de Pornic vers Nord;2021-03-29;1071
675;Pont Haudaudine vers Nord;2021-03-29;699
744;Calvaire vers Est;2021-03-29;579
747;Chemin de halage Tortière vers Nord;2021-03-29;702
890;Pont de Pirmil vers Sud;2021-03-29;2561
977;3 Continents vers Nord;2021-03-29;331
996;Van Iseghem vers Nord;2021-03-29;272
680;Stalingrad vers ouest;2021-03-29;470
682;pont Anne de Bretagne vers Sud;2021-03-29;1101
943;Magellan vers Ouest;2021-03-29;199
946;Magellan vers Est;2021-03-29;768
9999;;2021-03-29;278
847;Entrée pont Audibert vers Sud;2021-03-29;2023
945;Magellan vers Ouest;2021-03-29;644
949;avenue de la Libération vers Sud;2021-03-29;198
986;Tremie vers Ouest;2021-03-29;213
664;Bonduelle vers sud;2021-03-29;820
670;Pont de Pirmil vers Sud;2021-03-29;371
725;Pont Tabarly vers Sud;2021-03-29;423
743;Philippot vers ouest;2021-03-29;856
787;50 Otages Vers Sud;2021-03-29;1544
674;Pont Haudaudine vers Sud;2021-03-29;658
669;De Gaulle sortie Clémenceau vers Nord;2021-03-29;630
673;Pont de Pornic vers Sud;2021-03-29;199
681;Stalingrad vers est;2021-03-29;470
960;Sorinières Vers Nord;2021-03-29;46
987;Tremie vers Est;2021-03-29;166
945;Magellan vers Ouest;2021-03-28;459
987;Tremie vers Est;2021-03-28;61
989;Kennedy vers Ouest;2021-03-28;421
994;Ceineray vers Est;2021-03-28;479
995;Ceineray vers Ouest;2021-03-28;581
847;Entrée pont Audibert vers Sud;2021-03-28;1314
665;Bonduelle vers Nord;2021-03-28;459
679;Bd Malakoff vers Gare Sud;2021-03-28;61
680;Stalingrad vers ouest;2021-03-28;368
682;pont Anne de Bretagne vers Sud;2021-03-28;824
683;pont Anne de Bretagne vers Nord;2021-03-28;552
787;50 Otages Vers Sud;2021-03-28;1042
666;Pont Audibert vers Sud;2021-03-28;102
9999;;2021-03-28;281
959;Sorinières Vers Sud;2021-03-28;47
960;Sorinières Vers Nord;2021-03-28;31
981;Pont Tabarly vers Nord;2021-03-28;220
669;De Gaulle sortie Clémenceau vers Nord;2021-03-28;321
672;Pont de Pornic vers Nord;2021-03-28;437
747;Chemin de halage Tortière vers Nord;2021-03-28;724
788;50 Otages Vers Nord;2021-03-28;1188
943;Magellan vers Ouest;2021-03-28;247
986;Tremie vers Ouest;2021-03-28;75
988;Kennedy vers Est;2021-03-28;220
667;Entrée pont Audibert vers Nord;2021-03-28;1394
725;Pont Tabarly vers Sud;2021-03-28;275
743;Philippot vers ouest;2021-03-28;524
946;Magellan vers Est;2021-03-28;551
980;Pont Tabarly vers Sud;2021-03-28;64
880;Madeleine vers Nord;2021-03-28;1008
674;Pont Haudaudine vers Sud;2021-03-28;300
664;Bonduelle vers sud;2021-03-28;436
668;De Gaulle vers sud;2021-03-28;312
681;Stalingrad vers est;2021-03-28;342
785;50 Otages Vers Sud;2021-03-28;1500
947;Bd Malakoff vers Ouest;2021-03-28;449
979;3 Continents vers Sud;2021-03-28;1180
9998;;2021-03-28;362
744;Calvaire vers Est;2021-03-28;357
745;Calvaire vers Ouest;2021-03-28;27
786;50 Otages Vers Nord;2021-03-28;1477
890;Pont de Pirmil vers Sud;2021-03-28;1611
944;Magellan vers Est;2021-03-28;275
950;avenue de la Libération vers Nord;2021-03-28;275
977;3 Continents vers Nord;2021-03-28;205
997;Van Iseghem vers Sud;2021-03-28;541
881;Madeleine vers Sud;2021-03-28;1225
675;Pont Haudaudine vers Nord;2021-03-28;341
727;Pont Tabarly vers Nord;2021-03-28;402
676;Pont Willy Brandt vers Beaulieu;2021-03-28;220
670;Pont de Pirmil vers Sud;2021-03-28;334
673;Pont de Pornic vers Sud;2021-03-28;169
677;Pont Willy Brandt vers Malakoff;2021-03-28;149
742;Philippot vers Est;2021-03-28;597
746;Chemin de halage Tortière vers Sud;2021-03-28;668
948;Bd Malakoff vers Est;2021-03-28;400
949;avenue de la Libération vers Sud;2021-03-28;109
996;Van Iseghem vers Nord;2021-03-28;648
960;Sorinières Vers Nord;2021-03-27;28
881;Madeleine vers Sud;2021-03-27;1390
666;Pont Audibert vers Sud;2021-03-27;132
744;Calvaire vers Est;2021-03-27;550
669;De Gaulle sortie Clémenceau vers Nord;2021-03-27;326
681;Stalingrad vers est;2021-03-27;384
745;Calvaire vers Ouest;2021-03-27;91
785;50 Otages Vers Sud;2021-03-27;1870
786;50 Otages Vers Nord;2021-03-27;1889
943;Magellan vers Ouest;2021-03-27;149
665;Bonduelle vers Nord;2021-03-27;391
667;Entrée pont Audibert vers Nord;2021-03-27;1498
677;Pont Willy Brandt vers Malakoff;2021-03-27;132
680;Stalingrad vers ouest;2021-03-27;456
727;Pont Tabarly vers Nord;2021-03-27;262
947;Bd Malakoff vers Ouest;2021-03-27;221
981;Pont Tabarly vers Nord;2021-03-27;94
9998;;2021-03-27;282
668;De Gaulle vers sud;2021-03-27;333
672;Pont de Pornic vers Nord;2021-03-27;517
787;50 Otages Vers Sud;2021-03-27;1239
890;Pont de Pirmil vers Sud;2021-03-27;1300
949;avenue de la Libération vers Sud;2021-03-27;124
977;3 Continents vers Nord;2021-03-27;219
980;Pont Tabarly vers Sud;2021-03-27;46
847;Entrée pont Audibert vers Sud;2021-03-27;1435
9999;;2021-03-27;210
674;Pont Haudaudine vers Sud;2021-03-27;468
683;pont Anne de Bretagne vers Nord;2021-03-27;413
746;Chemin de halage Tortière vers Sud;2021-03-27;499
945;Magellan vers Ouest;2021-03-27;349
948;Bd Malakoff vers Est;2021-03-27;219
950;avenue de la Libération vers Nord;2021-03-27;268
959;Sorinières Vers Sud;2021-03-27;51
979;3 Continents vers Sud;2021-03-27;970
996;Van Iseghem vers Nord;2021-03-27;427
997;Van Iseghem vers Sud;2021-03-27;464
664;Bonduelle vers sud;2021-03-27;446
673;Pont de Pornic vers Sud;2021-03-27;168
682;pont Anne de Bretagne vers Sud;2021-03-27;679
725;Pont Tabarly vers Sud;2021-03-27;218
743;Philippot vers ouest;2021-03-27;600
788;50 Otages Vers Nord;2021-03-27;1262
946;Magellan vers Est;2021-03-27;382
944;Magellan vers Est;2021-03-27;180
988;Kennedy vers Est;2021-03-27;229
989;Kennedy vers Ouest;2021-03-27;423
995;Ceineray vers Ouest;2021-03-27;588
679;Bd Malakoff vers Gare Sud;2021-03-27;56
742;Philippot vers Est;2021-03-27;490
747;Chemin de halage Tortière vers Nord;2021-03-27;472
676;Pont Willy Brandt vers Beaulieu;2021-03-27;189
880;Madeleine vers Nord;2021-03-27;1258
670;Pont de Pirmil vers Sud;2021-03-27;302
675;Pont Haudaudine vers Nord;2021-03-27;480
986;Tremie vers Ouest;2021-03-27;134
987;Tremie vers Est;2021-03-27;93
994;Ceineray vers Est;2021-03-27;499
944;Magellan vers Est;2021-03-26;178
980;Pont Tabarly vers Sud;2021-03-26;35
676;Pont Willy Brandt vers Beaulieu;2021-03-26;299
881;Madeleine vers Sud;2021-03-26;1553
668;De Gaulle vers sud;2021-03-26;530
669;De Gaulle sortie Clémenceau vers Nord;2021-03-26;493
672;Pont de Pornic vers Nord;2021-03-26;841
675;Pont Haudaudine vers Nord;2021-03-26;607
683;pont Anne de Bretagne vers Nord;2021-03-26;576
746;Chemin de halage Tortière vers Sud;2021-03-26;484
742;Philippot vers Est;2021-03-26;831
785;50 Otages Vers Sud;2021-03-26;2024
787;50 Otages Vers Sud;2021-03-26;1255
9999;;2021-03-26;290
880;Madeleine vers Nord;2021-03-26;1379
890;Pont de Pirmil vers Sud;2021-03-26;1757
943;Magellan vers Ouest;2021-03-26;139
977;3 Continents vers Nord;2021-03-26;222
680;Stalingrad vers ouest;2021-03-26;440
745;Calvaire vers Ouest;2021-03-26;103
986;Tremie vers Ouest;2021-03-26;216
666;Pont Audibert vers Sud;2021-03-26;179
681;Stalingrad vers est;2021-03-26;428
743;Philippot vers ouest;2021-03-26;761
747;Chemin de halage Tortière vers Nord;2021-03-26;482
788;50 Otages Vers Nord;2021-03-26;1287
947;Bd Malakoff vers Ouest;2021-03-26;190
995;Ceineray vers Ouest;2021-03-26;713
9998;;2021-03-26;423
847;Entrée pont Audibert vers Sud;2021-03-26;1735
667;Entrée pont Audibert vers Nord;2021-03-26;1930
679;Bd Malakoff vers Gare Sud;2021-03-26;57
744;Calvaire vers Est;2021-03-26;527
948;Bd Malakoff vers Est;2021-03-26;239
959;Sorinières Vers Sud;2021-03-26;53
664;Bonduelle vers sud;2021-03-26;709
677;Pont Willy Brandt vers Malakoff;2021-03-26;191
682;pont Anne de Bretagne vers Sud;2021-03-26;779
725;Pont Tabarly vers Sud;2021-03-26;318
727;Pont Tabarly vers Nord;2021-03-26;308
786;50 Otages Vers Nord;2021-03-26;2097
949;avenue de la Libération vers Sud;2021-03-26;152
979;3 Continents vers Sud;2021-03-26;858
988;Kennedy vers Est;2021-03-26;358
989;Kennedy vers Ouest;2021-03-26;582
674;Pont Haudaudine vers Sud;2021-03-26;589
946;Magellan vers Est;2021-03-26;575
950;avenue de la Libération vers Nord;2021-03-26;345
960;Sorinières Vers Nord;2021-03-26;24
987;Tremie vers Est;2021-03-26;157
994;Ceineray vers Est;2021-03-26;493
670;Pont de Pirmil vers Sud;2021-03-26;255
665;Bonduelle vers Nord;2021-03-26;577
673;Pont de Pornic vers Sud;2021-03-26;187
945;Magellan vers Ouest;2021-03-26;432
981;Pont Tabarly vers Nord;2021-03-26;81
996;Van Iseghem vers Nord;2021-03-26;291
997;Van Iseghem vers Sud;2021-03-26;385
949;avenue de la Libération vers Sud;2021-03-25;176
727;Pont Tabarly vers Nord;2021-03-25;423
664;Bonduelle vers sud;2021-03-25;915
666;Pont Audibert vers Sud;2021-03-25;201
680;Stalingrad vers ouest;2021-03-25;583
742;Philippot vers Est;2021-03-25;1032
745;Calvaire vers Ouest;2021-03-25;119
881;Madeleine vers Sud;2021-03-25;1892
979;3 Continents vers Sud;2021-03-25;1186
672;Pont de Pornic vers Nord;2021-03-25;1099
677;Pont Willy Brandt vers Malakoff;2021-03-25;273
682;pont Anne de Bretagne vers Sud;2021-03-25;1034
785;50 Otages Vers Sud;2021-03-25;2599
945;Magellan vers Ouest;2021-03-25;553
947;Bd Malakoff vers Ouest;2021-03-25;290
987;Tremie vers Est;2021-03-25;162
996;Van Iseghem vers Nord;2021-03-25;416
9998;;2021-03-25;670
674;Pont Haudaudine vers Sud;2021-03-25;706
681;Stalingrad vers est;2021-03-25;529
747;Chemin de halage Tortière vers Nord;2021-03-25;707
786;50 Otages Vers Nord;2021-03-25;2612
943;Magellan vers Ouest;2021-03-25;185
944;Magellan vers Est;2021-03-25;252
948;Bd Malakoff vers Est;2021-03-25;313
988;Kennedy vers Est;2021-03-25;494
676;Pont Willy Brandt vers Beaulieu;2021-03-25;423
665;Bonduelle vers Nord;2021-03-25;754
668;De Gaulle vers sud;2021-03-25;700
743;Philippot vers ouest;2021-03-25;974
746;Chemin de halage Tortière vers Sud;2021-03-25;727
787;50 Otages Vers Sud;2021-03-25;1619
959;Sorinières Vers Sud;2021-03-25;67
960;Sorinières Vers Nord;2021-03-25;38
994;Ceineray vers Est;2021-03-25;639
997;Van Iseghem vers Sud;2021-03-25;477
669;De Gaulle sortie Clémenceau vers Nord;2021-03-25;667
670;Pont de Pirmil vers Sud;2021-03-25;347
673;Pont de Pornic vers Sud;2021-03-25;231
981;Pont Tabarly vers Nord;2021-03-25;113
995;Ceineray vers Ouest;2021-03-25;899
847;Entrée pont Audibert vers Sud;2021-03-25;2134
946;Magellan vers Est;2021-03-25;706
950;avenue de la Libération vers Nord;2021-03-25;499
977;3 Continents vers Nord;2021-03-25;337
980;Pont Tabarly vers Sud;2021-03-25;51
986;Tremie vers Ouest;2021-03-25;265
989;Kennedy vers Ouest;2021-03-25;743
667;Entrée pont Audibert vers Nord;2021-03-25;2418
679;Bd Malakoff vers Gare Sud;2021-03-25;77
744;Calvaire vers Est;2021-03-25;630
9999;;2021-03-25;242
880;Madeleine vers Nord;2021-03-25;1713
675;Pont Haudaudine vers Nord;2021-03-25;696
683;pont Anne de Bretagne vers Nord;2021-03-25;742
725;Pont Tabarly vers Sud;2021-03-25;414
788;50 Otages Vers Nord;2021-03-25;1602
890;Pont de Pirmil vers Sud;2021-03-25;2271
944;Magellan vers Est;2021-03-24;286
977;3 Continents vers Nord;2021-03-24;299
880;Madeleine vers Nord;2021-03-24;1745
664;Bonduelle vers sud;2021-03-24;866
673;Pont de Pornic vers Sud;2021-03-24;251
682;pont Anne de Bretagne vers Sud;2021-03-24;991
683;pont Anne de Bretagne vers Nord;2021-03-24;740
745;Calvaire vers Ouest;2021-03-24;115
746;Chemin de halage Tortière vers Sud;2021-03-24;685
727;Pont Tabarly vers Nord;2021-03-24;406
747;Chemin de halage Tortière vers Nord;2021-03-24;690
949;avenue de la Libération vers Sud;2021-03-24;184
979;3 Continents vers Sud;2021-03-24;1149
9998;;2021-03-24;544
744;Calvaire vers Est;2021-03-24;622
788;50 Otages Vers Nord;2021-03-24;1626
947;Bd Malakoff vers Ouest;2021-03-24;295
676;Pont Willy Brandt vers Beaulieu;2021-03-24;402
9999;;2021-03-24;263
670;Pont de Pirmil vers Sud;2021-03-24;349
787;50 Otages Vers Sud;2021-03-24;1674
943;Magellan vers Ouest;2021-03-24;203
950;avenue de la Libération vers Nord;2021-03-24;470
996;Van Iseghem vers Nord;2021-03-24;428
847;Entrée pont Audibert vers Sud;2021-03-24;2121
881;Madeleine vers Sud;2021-03-24;1967
674;Pont Haudaudine vers Sud;2021-03-24;681
667;Entrée pont Audibert vers Nord;2021-03-24;2417
669;De Gaulle sortie Clémenceau vers Nord;2021-03-24;629
672;Pont de Pornic vers Nord;2021-03-24;992
677;Pont Willy Brandt vers Malakoff;2021-03-24;274
681;Stalingrad vers est;2021-03-24;470
946;Magellan vers Est;2021-03-24;771
997;Van Iseghem vers Sud;2021-03-24;483
675;Pont Haudaudine vers Nord;2021-03-24;746
725;Pont Tabarly vers Sud;2021-03-24;388
742;Philippot vers Est;2021-03-24;1016
785;50 Otages Vers Sud;2021-03-24;2505
786;50 Otages Vers Nord;2021-03-24;2551
960;Sorinières Vers Nord;2021-03-24;48
981;Pont Tabarly vers Nord;2021-03-24;129
988;Kennedy vers Est;2021-03-24;495
989;Kennedy vers Ouest;2021-03-24;734
890;Pont de Pirmil vers Sud;2021-03-24;2287
959;Sorinières Vers Sud;2021-03-24;81
980;Pont Tabarly vers Sud;2021-03-24;52
986;Tremie vers Ouest;2021-03-24;233
987;Tremie vers Est;2021-03-24;179
994;Ceineray vers Est;2021-03-24;595
665;Bonduelle vers Nord;2021-03-24;721
668;De Gaulle vers sud;2021-03-24;648
743;Philippot vers ouest;2021-03-24;989
666;Pont Audibert vers Sud;2021-03-24;197
679;Bd Malakoff vers Gare Sud;2021-03-24;69
680;Stalingrad vers ouest;2021-03-24;521
945;Magellan vers Ouest;2021-03-24;594
948;Bd Malakoff vers Est;2021-03-24;316
995;Ceineray vers Ouest;2021-03-24;874
945;Magellan vers Ouest;2021-03-23;616
947;Bd Malakoff vers Ouest;2021-03-23;329
979;3 Continents vers Sud;2021-03-23;1200
980;Pont Tabarly vers Sud;2021-03-23;57
683;pont Anne de Bretagne vers Nord;2021-03-23;740
725;Pont Tabarly vers Sud;2021-03-23;442
786;50 Otages Vers Nord;2021-03-23;2612
665;Bonduelle vers Nord;2021-03-23;741
669;De Gaulle sortie Clémenceau vers Nord;2021-03-23;648
890;Pont de Pirmil vers Sud;2021-03-23;2339
944;Magellan vers Est;2021-03-23;258
948;Bd Malakoff vers Est;2021-03-23;323
997;Van Iseghem vers Sud;2021-03-23;526
727;Pont Tabarly vers Nord;2021-03-23;438
674;Pont Haudaudine vers Sud;2021-03-23;686
668;De Gaulle vers sud;2021-03-23;700
673;Pont de Pornic vers Sud;2021-03-23;221
679;Bd Malakoff vers Gare Sud;2021-03-23;76
682;pont Anne de Bretagne vers Sud;2021-03-23;1063
743;Philippot vers ouest;2021-03-23;957
959;Sorinières Vers Sud;2021-03-23;61
981;Pont Tabarly vers Nord;2021-03-23;136
987;Tremie vers Est;2021-03-23;189
988;Kennedy vers Est;2021-03-23;484
995;Ceineray vers Ouest;2021-03-23;907
9999;;2021-03-23;177
676;Pont Willy Brandt vers Beaulieu;2021-03-23;448
664;Bonduelle vers sud;2021-03-23;878
666;Pont Audibert vers Sud;2021-03-23;209
675;Pont Haudaudine vers Nord;2021-03-23;763
677;Pont Willy Brandt vers Malakoff;2021-03-23;267
680;Stalingrad vers ouest;2021-03-23;526
681;Stalingrad vers est;2021-03-23;510
744;Calvaire vers Est;2021-03-23;617
745;Calvaire vers Ouest;2021-03-23;113
746;Chemin de halage Tortière vers Sud;2021-03-23;705
787;50 Otages Vers Sud;2021-03-23;1689
950;avenue de la Libération vers Nord;2021-03-23;466
960;Sorinières Vers Nord;2021-03-23;47
996;Van Iseghem vers Nord;2021-03-23;443
9998;;2021-03-23;527
