Numéro de boucle;Libellé;Jour;Total
667;Entrée pont Audibert vers Nord;2022-05-03;3581
680;Stalingrad vers ouest;2022-05-03;784
742;Philippot vers Est;2022-05-03;1910
881;Madeleine vers Sud;2022-05-03;2657
944;Magellan vers Est;2022-05-03;394
945;Magellan vers Ouest;2022-05-03;1039
987;Tremie vers Est;2022-05-03;219
1056;;2022-05-03;0
665;Bonduelle vers Nord;2022-05-03;1255
847;Entrée pont Audibert vers Sud;2022-05-03;3161
947;Bd Malakoff vers Ouest;2022-05-03;521
8673;;2022-05-03;585
669;De Gaulle sortie Clémenceau vers Nord;2022-05-03;1072
676;Pont Willy Brandt vers Beaulieu;2022-05-03;958
677;Pont Willy Brandt vers Malakoff;2022-05-03;776
681;Stalingrad vers est;2022-05-03;726
682;pont Anne de Bretagne vers Sud;2022-05-03;1605
725;Pont Tabarly vers Sud;2022-05-03;634
788;50 Otages Vers Nord;2022-05-03;2387
950;avenue de la Libération vers Nord;2022-05-03;713
1054;;2022-05-03;0
666;Pont Audibert vers Sud;2022-05-03;317
673;Pont de Pornic vers Sud;2022-05-03;931
675;Pont Haudaudine vers Nord;2022-05-03;1092
959;Sorinières Vers Sud;2022-05-03;94
977;3 Continents vers Nord;2022-05-03;810
979;3 Continents vers Sud;2022-05-03;738
980;Pont Tabarly vers Sud;2022-05-03;60
1057;;2022-05-03;0
9673;;2022-05-03;1042
9998;;2022-05-03;816
683;pont Anne de Bretagne vers Nord;2022-05-03;1055
744;Calvaire vers Est;2022-05-03;894
746;Chemin de halage Tortière vers Sud;2022-05-03;662
880;Madeleine vers Nord;2022-05-03;2502
890;Pont de Pirmil vers Sud;2022-05-03;3418
981;Pont Tabarly vers Nord;2022-05-03;164
995;Ceineray vers Ouest;2022-05-03;1363
1041;;2022-05-03;341
1042;;2022-05-03;333
1055;;2022-05-03;0
8672;;2022-05-03;878
672;Pont de Pornic vers Nord;2022-05-03;1098
674;Pont Haudaudine vers Sud;2022-05-03;996
679;Bd Malakoff vers Gare Sud;2022-05-03;103
747;Chemin de halage Tortière vers Nord;2022-05-03;524
785;50 Otages Vers Sud;2022-05-03;3964
786;50 Otages Vers Nord;2022-05-03;3809
787;50 Otages Vers Sud;2022-05-03;2404
948;Bd Malakoff vers Est;2022-05-03;496
949;avenue de la Libération vers Sud;2022-05-03;273
960;Sorinières Vers Nord;2022-05-03;72
986;Tremie vers Ouest;2022-05-03;415
988;Kennedy vers Est;2022-05-03;1130
664;Bonduelle vers sud;2022-05-03;1440
670;Pont de Pirmil vers Sud;2022-05-02;372
677;Pont Willy Brandt vers Malakoff;2022-05-02;646
683;pont Anne de Bretagne vers Nord;2022-05-02;860
743;Philippot vers ouest;2022-05-02;1304
881;Madeleine vers Sud;2022-05-02;2318
994;Ceineray vers Est;2022-05-02;767
997;Van Iseghem vers Sud;2022-05-02;939
1041;;2022-05-02;285
1042;;2022-05-02;271
880;Madeleine vers Nord;2022-05-02;2055
944;Magellan vers Est;2022-05-02;342
947;Bd Malakoff vers Ouest;2022-05-02;432
948;Bd Malakoff vers Est;2022-05-02;460
987;Tremie vers Est;2022-05-02;199
1057;;2022-05-02;0
9673;;2022-05-02;949
667;Entrée pont Audibert vers Nord;2022-05-02;2980
682;pont Anne de Bretagne vers Sud;2022-05-02;1282
